0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,2,0,0,0,0,0,0,0,4,1,0,3,3,3,0,0
42,0,34,37,0,63,0,6,3,11,2,16,2,17,12,0,35,17,33,2,0
85,0,49,96,0,114,0,2,38,17,8,50,3,30,47,0,96,65,118,4,2
154,0,138,172,0,218,0,6,56,45,38,124,9,76,86,0,228,114,189,3,0
172,0,208,251,0,311,0,5,67,72,55,194,7,136,104,9,297,164,215,6,1
140,0,279,226,0,272,0,0,61,34,2,189,26,97,5,10,321,58,52,6,0
82,0,315,236,0,147,0,0,8,0,0,77,33,0,0,7,132,15,0,0,0
56,0,303,4,0,6,0,0,1,0,0,7,9,0,0,3,1,13,0,0,0
31,0,184,32,13,31,14,4,6,4,2,3,6,10,9,0,14,39,12,5,3
246,205,145,180,128,228,336,42,94,112,86,319,0,173,148,68,189,359,427,62,81
539,491,280,401,351,626,769,95,178,257,186,658,6,419,249,187,451,811,603,67,104
467,450,296,417,331,701,887,74,123,235,125,470,3,310,128,165,378,749,412,68,44
162,115,230,166,199,251,237,21,29,63,18,112,4,66,41,60,118,260,120,31,4
7,0,262,1,25,4,0,0,1,0,0,5,4,0,0,10,3,18,0,0,0
3,0,148,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,88,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,61,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,63,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1,0,68,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
30,1,132,34,30,40,6,7,6,4,0,4,1,13,12,4,13,85,23,3,3
